day,operate,price,investment,total_balance,sentiment
940,卖出,169.8551025390625,169.8551025390625,10639.812881469727,0.0
941,卖出,165.6757354736328,165.6757354736328,10627.274780273438,0.0
942,卖出,166.9960479736328,166.9960479736328,10629.915405273438,0.0
949,买入,180.4971160888672,180.4971160888672,10282.422241210938,0.0
950,卖出,181.559326171875,181.559326171875,10645.540893554688,0.0
952,买入,185.2875518798828,185.2875518798828,10278.69401550293,0.0
953,买入,183.6970977783203,183.6970977783203,10278.69401550293,0.0
954,买入,186.3213653564453,186.3213653564453,10281.318283081055,0.0
955,买入,186.887939453125,186.887939453125,10282.451431274414,0.0
956,买入,188.5778045654297,188.5778045654297,10287.521026611328,0.0
957,买入,188.55792236328125,188.55792236328125,10287.441497802734,0.0
958,买入,190.30740356445312,190.30740356445312,10296.188903808594,0.0
959,买入,189.5022430419922,189.5022430419922,10291.357940673828,0.0
960,买入,190.1682586669922,190.1682586669922,10296.020050048828,0.0
961,买入,188.83624267578125,188.83624267578125,10285.36392211914,0.0
962,买入,188.6573028564453,188.6573028564453,10283.753463745117,0.0
963,买入,189.263671875,189.263671875,10289.817153930664,0.0
964,卖出,188.2398376464844,188.2398376464844,10655.034652709961,0.0
965,卖出,188.8163604736328,188.8163604736328,10661.952926635742,0.0
966,卖出,190.0986785888672,190.0986785888672,10676.05842590332,0.0
967,卖出,188.2994537353516,188.2994537353516,10658.066177368164,0.0
968,卖出,192.26565551757807,192.26565551757807,10693.761993408203,0.0
969,卖出,191.17221069335935,191.17221069335935,10685.014434814453,0.0
970,买入,193.110595703125,193.110595703125,10312.361938476562,0.0
971,卖出,194.5419921875,194.5419921875,10710.034301757812,0.0
972,买入,192.027099609375,192.027099609375,10308.375854492188,0.0
973,买入,193.5479736328125,193.5479736328125,10317.501098632812,0.0
974,买入,196.7785797119141,196.7785797119141,10340.115341186523,0.0
975,买入,196.92767333984372,196.92767333984372,10341.308090209961,0.0
976,买入,196.39089965820312,196.39089965820312,10336.477127075195,0.0
977,买入,194.72091674804688,194.72091674804688,10319.777297973633,0.0
978,买入,195.7646484375,195.7646484375,10331.258346557617,0.0
979,买入,193.667236328125,193.667236328125,10306.089401245117,0.0
980,卖出,193.51812744140625,193.51812744140625,10691.187240600586,0.0
981,卖出,192.4445953369141,192.4445953369141,10676.157791137695,0.0
982,卖出,191.8978729248047,191.8978729248047,10669.050399780273,0.0
983,卖出,191.9972686767578,191.9972686767578,10670.243148803711,0.0
984,卖出,192.4247131347656,192.4247131347656,10674.945037841797,0.0
